# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,KEHHWFKDLL,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
2.484475557547475955e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
2.437645836313398373e+00, 0.000000000000000000e+00, 8.109514987519991086e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
2.370218072590692948e+00, 0.000000000000000000e+00, 1.896537856374269637e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
2.275084765449276958e+00, 0.000000000000000000e+00, 3.261472298915959328e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
2.144666034278825073e+00, 0.000000000000000000e+00, 4.810032078941998274e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
1.972825633391086519e+00, 0.000000000000000000e+00, 6.270872184775508340e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
1.758031227748518166e+00, 0.000000000000000000e+00, 7.160754551288395220e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
1.506793911095118510e+00, 0.000000000000000000e+00, 6.889968351273981217e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
1.234875437668306208e+00, 0.000000000000000000e+00, 5.161947629169175156e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
9.635729182367200885e-01, 0.000000000000000000e+00, 2.630632214132488933e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
7.137760311420613402e-01, 0.000000000000000000e+00, -9.685196652472313674e-04, 1.000000000000000000e+00, 1.415838762408753171e+00
5.000547575263273314e-01, 0.000000000000000000e+00, -2.436051089395030456e-02, 1.000000000000000000e+00, 1.586533649582798633e+00
3.282976177429796083e-01, 0.000000000000000000e+00, -3.996510629028153516e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
1.971307436045486861e-01, 0.000000000000000000e+00, -4.636094947680169387e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
1.011109777090045264e-01, 0.000000000000000000e+00, -4.346510413672093065e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
3.431120450614342371e-02, 0.000000000000000000e+00, -3.016897024901349367e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
1.782909330903029860e-02, 0.000000000000000000e+00, 4.369832629273895375e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
7.419921142341302789e-02, 0.000000000000000000e+00, 8.600706897865975642e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
1.634787072973343247e-01, 0.000000000000000000e+00, 1.297355303629605661e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
2.915319793110097146e-01, 0.000000000000000000e+00, 1.752583466300875470e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
4.644518565622466344e-01, 0.000000000000000000e+00, 2.194627624651138975e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
6.838725623707861967e-01, 0.000000000000000000e+00, 2.563384998888336153e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
9.429657623075760053e-01, 0.000000000000000000e+00, 2.786371343370015463e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.224959195610679341e+00, 0.000000000000000000e+00, 2.810378238128460326e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
1.506346293851402507e+00, 0.000000000000000000e+00, 2.624939039796072571e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
1.763506267015157114e+00, 0.000000000000000000e+00, 2.238498318815539956e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
1.980507665398998807e+00, 0.000000000000000000e+00, 1.746055688658776917e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
2.151941062886996825e+00, 0.000000000000000000e+00, 1.248259179088355292e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
2.280638838952265157e+00, 0.000000000000000000e+00, 8.101959262048333277e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
2.373692309615233142e+00, 0.000000000000000000e+00, 4.583144178852414929e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
2.439202367297016227e+00, 0.000000000000000000e+00, 1.925363065127354972e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
2.484475557547475955e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
2.345099368834516085e+00, 4.062445720940575988e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
2.304965198891558487e+00, 4.062445720940575988e+00, 6.178436145212118195e-03, 1.199999999999999956e+00, 4.173311976788848798e-02
2.247184427516144112e+00, 4.062445720940575988e+00, 1.442925783227731393e-02, 1.199999999999999956e+00, 9.595583006934514658e-02
2.165673742124194945e+00, 4.062445720940575988e+00, 2.475842405704172314e-02, 1.199999999999999956e+00, 1.722603643809275942e-01
2.053949829651581460e+00, 4.062445720940575100e+00, 3.637701346108912492e-02, 1.199999999999999956e+00, 2.765358755368440558e-01
1.906768333513405356e+00, 4.062445720940575988e+00, 4.711558007810468657e-02, 1.199999999999999956e+00, 4.134663504172013671e-01
1.722820011733517509e+00, 4.062445720940575988e+00, 5.315480571598626969e-02, 1.199999999999999956e+00, 5.841612375912467181e-01
1.507659955752318037e+00, 4.062445720940575988e+00, 4.988505830998657409e-02, 1.199999999999999956e+00, 7.836633902842906618e-01
1.274742767103930641e+00, 4.062445720940575988e+00, 3.510082422211372594e-02, 1.199999999999999956e+00, 1.000000000000000000e+00
1.042301450398586127e+00, 4.062445720940575988e+00, 1.422074308957842897e-02, 1.199999999999999956e+00, 1.216336609715709338e+00
8.282523286705760768e-01, 4.062445720940575988e+00, -7.762606195020691456e-03, 1.199999999999999956e+00, 1.415838762408753171e+00
6.451197709970826200e-01, 4.062445720940575988e+00, -2.614779524956441573e-02, 1.199999999999999956e+00, 1.586533649582798633e+00
4.979883467735445324e-01, 4.062445720940575988e+00, -3.788713775821003077e-02, 1.199999999999999956e+00, 1.723464124463156111e+00
3.857014144875445805e-01, 4.062445720940575988e+00, -4.195941810566139463e-02, 1.199999999999999956e+00, 1.827739635619072267e+00
3.036018964544760501e-01, 4.062445720940574212e+00, -3.837752649819312772e-02, 1.199999999999999956e+00, 1.904044169930654951e+00
2.466258463242696763e-01, 4.062445720940575988e+00, -2.621218815380823436e-02, 1.199999999999999956e+00, 1.958266880232111484e+00
2.176485623714113637e-01, 4.062445720940575988e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 2.000000000000000000e+00
2.334401573665791374e-01, 4.062445720940575988e+00, 3.703567298878857744e-02, 1.199999999999999956e+00, 2.041733119767888294e+00
2.820724834260028291e-01, 4.062445720940575988e+00, 7.241109837174418418e-02, 1.199999999999999956e+00, 2.095955830069344827e+00
3.587797854417731358e-01, 4.062445720940575988e+00, 1.086590828145884841e-01, 1.199999999999999956e+00, 2.172260364380927733e+00
4.685758360279685952e-01, 4.062445720940575988e+00, 1.461217300300548527e-01, 1.199999999999999956e+00, 2.276535875536843889e+00
6.166374502258180623e-01, 4.062445720940575988e+00, 1.822295965064953116e-01, 1.199999999999999956e+00, 2.413466350417201589e+00
8.043295536535559620e-01, 4.062445720940575988e+00, 2.120585903738898270e-01, 1.199999999999999956e+00, 2.584161237591246607e+00
1.025815725655270905e+00, 4.062445720940575988e+00, 2.297340220930827459e-01, 1.199999999999999956e+00, 2.783663390284290440e+00
