# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,NPQTQRDHAM,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
2.160636930514172160e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
2.119698424287055349e+00, 0.000000000000000000e+00, 3.507476053676886977e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
2.060845460716409505e+00, 0.000000000000000000e+00, 8.257756891705379451e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
1.977979965575134225e+00, 0.000000000000000000e+00, 1.435587028497173172e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
1.864661327924193923e+00, 0.000000000000000000e+00, 2.156058269638806701e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
1.715742166259994539e+00, 0.000000000000000000e+00, 2.901224968088936956e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
1.529970992774101202e+00, 0.000000000000000000e+00, 3.510437710794905852e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
1.312749443565312646e+00, 0.000000000000000000e+00, 3.783743259594256336e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
1.077187613419414491e+00, 0.000000000000000000e+00, 3.583446426810583951e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
8.417222739537568721e-01, 0.000000000000000000e+00, 2.887838423906720006e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
6.248326115683007220e-01, 0.000000000000000000e+00, 1.658910366127987548e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
4.394766642996890127e-01, 0.000000000000000000e+00, 2.736296225827978754e-03, 1.000000000000000000e+00, 1.586533649582798633e+00
2.908339231860710417e-01, 0.000000000000000000e+00, -9.018307323834271610e-03, 1.000000000000000000e+00, 1.723464124463156111e+00
1.775426310321815415e-01, 0.000000000000000000e+00, -1.661836268692784904e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
9.450501480946826849e-02, 0.000000000000000000e+00, -1.930234511536146544e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
3.557774059471816713e-02, 0.000000000000000000e+00, -1.632781903697726883e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
