# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,NKMVNGRCGC,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
1.366566124362772250e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.340517484950306537e+00, 0.000000000000000000e+00, -1.149055929737083717e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
1.303084878795592871e+00, 0.000000000000000000e+00, -2.787467850943519277e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
1.250407204545016748e+00, 0.000000000000000000e+00, -5.072571825505231558e-03, 1.000000000000000000e+00, 1.722603643809275942e-01
1.178418348443102337e+00, 0.000000000000000000e+00, -8.169658281577493741e-03, 1.000000000000000000e+00, 2.765358755368440558e-01
1.083884169534129915e+00, 0.000000000000000000e+00, -1.220712953852560317e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
9.660368235083494071e-01, 0.000000000000000000e+00, -1.717260625479388736e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
8.282916919895093599e-01, 0.000000000000000000e+00, -2.274993567828644675e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
6.788980679717885325e-01, 0.000000000000000000e+00, -2.813216003701130702e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
5.294600102641061623e-01, 0.000000000000000000e+00, -3.206632935989649213e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
3.916103201380329857e-01, 0.000000000000000000e+00, -3.340294437356518265e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
2.736605327133569965e-01, 0.000000000000000000e+00, -3.410932878003031243e-02, 1.000000000000000000e+00, 1.586533649582798633e+00
1.790421477600363520e-01, 0.000000000000000000e+00, -3.380436779563449068e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
