# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,GFSWXDTDRP,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
1.022703423264548883e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.003087381384171195e+00, 0.000000000000000000e+00, -1.668161366420019363e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
9.748976196099927716e-01, 0.000000000000000000e+00, -4.048825365232285207e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
9.352253942594734859e-01, 0.000000000000000000e+00, -7.370780806272897792e-03, 1.000000000000000000e+00, 1.722603643809275942e-01
8.810070959208807784e-01, 0.000000000000000000e+00, -1.186955494015565042e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
8.098050092646049691e-01, 0.000000000000000000e+00, -1.771941572009239768e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
7.210364899686919626e-01, 0.000000000000000000e+00, -2.489665750225844229e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
6.172632799737707288e-01, 0.000000000000000000e+00, -3.298584769327827376e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
5.046766850439027285e-01, 0.000000000000000000e+00, -4.099154695258034470e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
3.919891877284904513e-01, 0.000000000000000000e+00, -4.740263877235224854e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
2.879586059701818579e-01, 0.000000000000000000e+00, -5.074263076507500025e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
1.989089757236024159e-01, 0.000000000000000000e+00, -5.023919096772121173e-02, 1.000000000000000000e+00, 1.586533649582798633e+00
1.276028026457010633e-01, 0.000000000000000000e+00, -4.602300248291824047e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
7.370548822821067214e-02, 0.000000000000000000e+00, -3.874232397457420124e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
3.516068843625284185e-02, 0.000000000000000000e+00, -2.892553626117585694e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
1.000068829264627590e-02, 0.000000000000000000e+00, -1.625693668055172569e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
8.280693991209063173e-03, 0.000000000000000000e+00, 1.737621727722832299e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
3.223120666610623797e-02, 0.000000000000000000e+00, 3.267761712300429333e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
6.998500910893930282e-02, 0.000000000000000000e+00, 4.628502750253184889e-02, 1.000000000000000000e+00, 2.172260364380927733e+00
1.235124128989285863e-01, 0.000000000000000000e+00, 5.836625488366806169e-02, 1.000000000000000000e+00, 2.276535875536843889e+00
1.949344132349102865e-01, 0.000000000000000000e+00, 6.801244943877210458e-02, 1.000000000000000000e+00, 2.413466350417201589e+00
2.845968672430169155e-01, 0.000000000000000000e+00, 7.379250442581139491e-02, 1.000000000000000000e+00, 2.584161237591246607e+00
3.896118367192762388e-01, 0.000000000000000000e+00, 7.446253099045449519e-02, 1.000000000000000000e+00, 2.783663390284290440e+00
5.033969055077305299e-01, 0.000000000000000000e+00, 6.974016147788494879e-02, 1.000000000000000000e+00, 3.000000000000000000e+00
6.169168205963170282e-01, 0.000000000000000000e+00, 6.061700559233849928e-02, 1.000000000000000000e+00, 3.216336609715709116e+00
7.212949752618831312e-01, 0.000000000000000000e+00, 4.897425385498201111e-02, 1.000000000000000000e+00, 3.415838762408752949e+00
8.103326607326426512e-01, 0.000000000000000000e+00, 3.683475344699198295e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
8.815580684701974645e-01, 0.000000000000000000e+00, 2.572454667814479123e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
9.356660210785240350e-01, 0.000000000000000000e+00, 1.645659780963294391e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
9.751807496545309428e-01, 0.000000000000000000e+00, 9.226936968526626773e-03, 1.000000000000000000e+00, 3.904044169930655173e+00
1.003216355082707123e+00, 0.000000000000000000e+00, 3.854927856549018959e-03, 1.000000000000000000e+00, 3.958266880232111262e+00
1.022703423264548883e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
1.095106434671207829e+00, 2.843553508154566423e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
1.077528964341458284e+00, 2.843553508154565979e+00, -1.552730755709058694e-03, 1.199999999999999956e+00, 4.173311976788848798e-02
1.052268080863958399e+00, 2.843553508154565979e+00, -3.763466261072181268e-03, 1.199999999999999956e+00, 9.595583006934514658e-02
1.016716385420550983e+00, 2.843553508154566867e+00, -6.837642960096344119e-03, 1.199999999999999956e+00, 1.722603643809275942e-01
9.681269917804952163e-01, 2.843553508154566423e+00, -1.098001333058623227e-02, 1.199999999999999956e+00, 2.765358755368440558e-01
9.043130464571875748e-01, 2.843553508154566423e+00, -1.632906428646709734e-02, 1.199999999999999956e+00, 4.134663504172013671e-01
8.247495926121376497e-01, 2.843553508154566423e+00, -2.283295288897651751e-02, 1.199999999999999956e+00, 5.841612375912467181e-01
7.317303669612063022e-01, 2.843553508154566423e+00, -3.008307327957600308e-02, 1.199999999999999956e+00, 7.836633902842906618e-01
6.308049149204923989e-01, 2.843553508154566423e+00, -3.716520341310167175e-02, 1.199999999999999956e+00, 1.000000000000000000e+00
5.297868199251823951e-01, 2.843553508154566423e+00, -4.273838894447655468e-02, 1.199999999999999956e+00, 1.216336609715709338e+00
4.365324720753634979e-01, 2.843553508154566867e+00, -4.552575604060944692e-02, 1.199999999999999956e+00, 1.415838762408753171e+00
3.567139645335264397e-01, 2.843553508154566867e+00, -4.489123226976074466e-02, 1.199999999999999956e+00, 1.586533649582798633e+00
2.928050790638048184e-01, 2.843553508154566867e+00, -4.099296594632256818e-02, 1.199999999999999956e+00, 1.723464124463156111e+00
2.444975229400572214e-01, 2.843553508154566423e+00, -3.443133919522962938e-02, 1.199999999999999956e+00, 1.827739635619072267e+00
2.099326942349096781e-01, 2.843553508154565979e+00, -2.568497998643194322e-02, 1.199999999999999956e+00, 1.904044169930654951e+00
1.873089894253309462e-01, 2.843553508154566423e+00, -1.447140597358631889e-02, 1.199999999999999956e+00, 1.958266880232111484e+00
1.782298227011469283e-01, 2.843553508154566423e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 2.000000000000000000e+00
1.859329939841811441e-01, 2.843553508154566423e+00, 1.536683045092757799e-02, 1.199999999999999956e+00, 2.041733119767888294e+00
2.075891088187924172e-01, 2.843553508154566423e+00, 2.868664467589469511e-02, 1.199999999999999956e+00, 2.095955830069344827e+00
2.415211396446401426e-01, 2.843553508154566867e+00, 4.046550201759574472e-02, 1.199999999999999956e+00, 2.172260364380927733e+00
2.895327672663867702e-01, 2.843553508154565090e+00, 5.086756786692243903e-02, 1.199999999999999956e+00, 2.276535875536843889e+00
3.535343145425727251e-01, 2.843553508154566423e+00, 5.910983904660145616e-02, 1.199999999999999956e+00, 2.413466350417201589e+00
4.338430810936314552e-01, 2.843553508154565979e+00, 6.396565496919855154e-02, 1.199999999999999956e+00, 2.584161237591246607e+00
5.278849391178110917e-01, 2.843553508154566423e+00, 6.438630271895834367e-02, 1.199999999999999956e+00, 2.783663390284290440e+00
6.297810912915545734e-01, 2.843553508154566423e+00, 6.016409503334535502e-02, 1.199999999999999956e+00, 3.000000000000000000e+00
7.314531994592432529e-01, 2.843553508154566423e+00, 5.218799959882418349e-02, 1.199999999999999956e+00, 3.216336609715709116e+00
8.249563808466905401e-01, 2.843553508154566423e+00, 4.209502997115537742e-02, 1.199999999999999956e+00, 3.415838762408752949e+00
9.047351676316177649e-01, 2.843553508154565979e+00, 3.162133446798676834e-02, 1.199999999999999956e+00, 3.586533649582798411e+00
9.685677698199484098e-01, 2.843553508154566423e+00, 2.206400672097755256e-02, 1.199999999999999956e+00, 3.723464124463156111e+00
1.017068886875791334e+00, 2.843553508154565979e+00, 1.410629656278436679e-02, 1.199999999999999956e+00, 3.827739635619072267e+00
1.052494584899589025e+00, 2.843553508154566423e+00, 7.905955543707614622e-03, 1.199999999999999956e+00, 3.904044169930655173e+00
1.077632143300287115e+00, 2.843553508154566423e+00, 3.302143947812229748e-03, 1.199999999999999956e+00, 3.958266880232111262e+00
1.095106434671207829e+00, 2.843553508154566423e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 4.000000000000000000e+00
1.167509446077866553e+00, 5.687107016309132845e+00, 0.000000000000000000e+00, 1.399999999999999911e+00, 0.000000000000000000e+00
1.151970547298745373e+00, 5.687107016309131957e+00, -1.437300144998098026e-03, 1.399999999999999911e+00, 4.173311976788848798e-02
1.129638542117923805e+00, 5.687107016309131957e+00, -3.478107156912077329e-03, 1.399999999999999911e+00, 9.595583006934514658e-02
1.098207376581628480e+00, 5.687107016309133734e+00, -6.304505113919790446e-03, 1.399999999999999911e+00, 1.722603643809275942e-01
1.055246887640109765e+00, 5.687107016309132845e+00, -1.009047172101681586e-02, 1.399999999999999911e+00, 2.765358755368440558e-01
