# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,EQDCUFLQML,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
1.475419446326650341e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.446984631700952040e+00, 0.000000000000000000e+00, -6.183664538075570385e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
1.406079967330503111e+00, 0.000000000000000000e+00, -1.486629818349014323e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
1.348435137421588825e+00, 0.000000000000000000e+00, -2.669155072150471153e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
1.269515184034074817e+00, 0.000000000000000000e+00, -4.213105664159630392e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
1.165645601069922321e+00, 0.000000000000000000e+00, -6.116315854397789964e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
1.035808495221471226e+00, 0.000000000000000000e+00, -8.285593565042462250e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
8.835604193031844078e-01, 0.000000000000000000e+00, -1.050044680433811772e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
7.178323926614040840e-01, 0.000000000000000000e+00, -1.241386853668656476e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
5.514539974408282363e-01, 0.000000000000000000e+00, -1.362783454930434346e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
