# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,KYBXGFKCZM,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
1.377979786513096938e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.351877592701547615e+00, 0.000000000000000000e+00, 3.622816721701503304e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
1.314343648655346364e+00, 0.000000000000000000e+00, 8.645740350269725399e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
1.261475980194064039e+00, 0.000000000000000000e+00, 1.534240859840874972e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
1.189141371120444823e+00, 0.000000000000000000e+00, 2.377489084558034871e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
1.094013543290688562e+00, 0.000000000000000000e+00, 3.356141992106449062e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
9.752363124326171029e-01, 0.000000000000000000e+00, 4.370681432379226738e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
8.362019282838709655e-01, 0.000000000000000000e+00, 5.274141643706682647e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
6.852627989447074297e-01, 0.000000000000000000e+00, 5.937586136942385462e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
5.342282300799521266e-01, 0.000000000000000000e+00, 6.331184559724756244e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
3.949147675871090835e-01, 0.000000000000000000e+00, 6.545683978424747529e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
2.758619786677796726e-01, 0.000000000000000000e+00, 6.200247158033517225e-02, 1.000000000000000000e+00, 1.586533649582798633e+00
1.819765945328120638e-01, 0.000000000000000000e+00, 4.417994215569664984e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
1.121205080815736166e-01, 0.000000000000000000e+00, 2.363968382991289696e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
6.148369841531260011e-02, 0.000000000000000000e+00, 7.034024454555515456e-03, 1.000000000000000000e+00, 1.904044169930654951e+00
2.497447786696258692e-02, 0.000000000000000000e+00, -2.940796892914175186e-03, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
8.160896802990836099e-03, 0.000000000000000000e+00, 2.487780749035608044e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
3.552965512315792856e-02, 0.000000000000000000e+00, 5.342374612658865041e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
7.999922523840832800e-02, 0.000000000000000000e+00, 8.695942526445393783e-02, 1.000000000000000000e+00, 2.172260364380927733e+00
1.467298388018683231e-01, 0.000000000000000000e+00, 1.235514155384678514e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
2.412414463383388830e-01, 0.000000000000000000e+00, 1.558630094320340165e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
3.648814643719048290e-01, 0.000000000000000000e+00, 1.697662246621118864e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
5.105626392870383778e-01, 0.000000000000000000e+00, 1.664021751649662484e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
6.680697253998092444e-01, 0.000000000000000000e+00, 1.536967595586792301e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
8.247090481353974711e-01, 0.000000000000000000e+00, 1.328314620109820599e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
9.681460129678240989e-01, 0.000000000000000000e+00, 1.070812108697045684e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
1.089953842120078953e+00, 0.000000000000000000e+00, 8.042547454915831284e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
1.186974347807751684e+00, 0.000000000000000000e+00, 5.608458997977301685e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
1.260403436229359686e+00, 0.000000000000000000e+00, 3.582017244578939580e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
1.313868223423076742e+00, 0.000000000000000000e+00, 2.005274962903866309e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
1.351715767906486398e+00, 0.000000000000000000e+00, 8.367253038186183225e-03, 1.000000000000000000e+00, 3.958266880232111262e+00
1.377979786513096938e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
1.314540794880456609e+00, 3.092171455607199082e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
