# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,QHKFPBZZMZ,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
2.461620299276423118e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
2.415059428131812069e+00, 0.000000000000000000e+00, 4.982725286085523675e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
2.348119910498717822e+00, 0.000000000000000000e+00, 1.184407235561519764e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
2.253859954230121865e+00, 0.000000000000000000e+00, 2.089562501240389836e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
2.124941200431623489e+00, 0.000000000000000000e+00, 3.210464101480049737e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
1.955483868900007582e+00, 0.000000000000000000e+00, 4.475958601927224056e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
1.744022660400309288e+00, 0.000000000000000000e+00, 5.724621206844590637e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
1.496648970573926984e+00, 0.000000000000000000e+00, 6.730463968252672902e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
1.228240013860268043e+00, 0.000000000000000000e+00, 7.301413104348558614e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
9.597710570864572688e-01, 0.000000000000000000e+00, 7.400806374716654978e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
