# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,VSQCVWAXYS,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
2.012723546333028857e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.974212897593362381e+00, 0.000000000000000000e+00, 5.127408542652777713e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
1.918755300947305953e+00, 0.000000000000000000e+00, 1.154521842728183437e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
1.840512874077323335e+00, 0.000000000000000000e+00, 1.862164876587799056e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
1.733315634137563288e+00, 0.000000000000000000e+00, 2.446555555948791080e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
1.592349528313359075e+00, 0.000000000000000000e+00, 2.518938238681607544e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
1.416941069753787419e+00, 0.000000000000000000e+00, 1.480448273371181254e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
1.212966768752906432e+00, 0.000000000000000000e+00, -9.399328086154692952e-03, 1.000000000000000000e+00, 7.836633902842906618e-01
9.919242726990711301e-01, 0.000000000000000000e+00, -3.687889083648866750e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
7.706884915178606743e-01, 0.000000000000000000e+00, -6.274261194945535136e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
5.662064723024808899e-01, 0.000000000000000000e+00, -8.217792390374444034e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
3.907370526363384000e-01, 0.000000000000000000e+00, -9.179690929058485771e-02, 1.000000000000000000e+00, 1.586533649582798633e+00
2.497874985813404169e-01, 0.000000000000000000e+00, -9.073144743915774468e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
1.430200961531424564e-01, 0.000000000000000000e+00, -7.997420935497651096e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
6.696902661344328322e-02, 0.000000000000000000e+00, -6.073650409346036810e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
1.881944435659195849e-02, 0.000000000000000000e+00, -3.315787374371998580e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
8.363531573278310677e-03, 0.000000000000000000e+00, 3.853832268425632507e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
4.805900831266989720e-02, 0.000000000000000000e+00, 8.008156563739107781e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
