# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,KZMUAPATBW,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
3.460274369419399143e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
3.394210917224429469e+00, 0.000000000000000000e+00, 1.226468931618057310e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
3.299272965469328689e+00, 0.000000000000000000e+00, 2.734015249375101961e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
3.165665033226058522e+00, 0.000000000000000000e+00, 4.328141888552038997e-03, 1.000000000000000000e+00, 1.722603643809275942e-01
2.983071152862503794e+00, 0.000000000000000000e+00, 5.462057917555132765e-03, 1.000000000000000000e+00, 2.765358755368440558e-01
2.743292021246525270e+00, 0.000000000000000000e+00, 5.062028061208940360e-03, 1.000000000000000000e+00, 4.134663504172013671e-01
2.444407695034457983e+00, 0.000000000000000000e+00, 1.622904879748234431e-03, 1.000000000000000000e+00, 5.841612375912467181e-01
2.095142830723647265e+00, 0.000000000000000000e+00, -6.029967210192990409e-03, 1.000000000000000000e+00, 7.836633902842906618e-01
1.716480280976254491e+00, 0.000000000000000000e+00, -1.725121818998678891e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
1.337819570666219704e+00, 0.000000000000000000e+00, -2.852822099330907038e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
9.886144881402377793e-01, 0.000000000000000000e+00, -3.823687449366557772e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
6.903062526445090663e-01, 0.000000000000000000e+00, -5.697929594438185669e-02, 1.000000000000000000e+00, 1.586533649582798633e+00
4.511285646505560631e-01, 0.000000000000000000e+00, -7.394862212745322017e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
2.686770136771196582e-01, 0.000000000000000000e+00, -8.054479221266619415e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
1.353983129241271288e-01, 0.000000000000000000e+00, -7.267665590453878388e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
