# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,SOCYXUAUTJ,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
1.529980680683760585e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.500629697727626555e+00, 0.000000000000000000e+00, 2.022287276910995218e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
1.458432236727029041e+00, 0.000000000000000000e+00, 4.621492892054949488e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
1.399014894941347009e+00, 0.000000000000000000e+00, 7.649458658295839319e-03, 1.000000000000000000e+00, 1.722603643809275942e-01
1.317764232696470472e+00, 0.000000000000000000e+00, 1.056152710864281807e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
1.211013926794049400e+00, 0.000000000000000000e+00, 1.218237734691883511e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
1.077935441574272568e+00, 0.000000000000000000e+00, 1.069141548503090358e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
9.225220819935866512e-01, 0.000000000000000000e+00, 4.258449113286180004e-03, 1.000000000000000000e+00, 7.836633902842906618e-01
7.542608328377613525e-01, 0.000000000000000000e+00, -7.535152371593811967e-03, 1.000000000000000000e+00, 1.000000000000000000e+00
5.863409829487433722e-01, 0.000000000000000000e+00, -2.346112118798292234e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
4.317285036113676644e-01, 0.000000000000000000e+00, -4.053359617952580207e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
2.992662074458644073e-01, 0.000000000000000000e+00, -5.340916841957713684e-02, 1.000000000000000000e+00, 1.586533649582798633e+00
1.926534298886352636e-01, 0.000000000000000000e+00, -5.874216771793434877e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
1.114583132450522318e-01, 0.000000000000000000e+00, -5.553205925790437314e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
5.322350143580315690e-02, 0.000000000000000000e+00, -4.389125966662560385e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
1.615393953358893603e-02, 0.000000000000000000e+00, -2.414032258488413296e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
3.067386836218493175e-04, 0.000000000000000000e+00, 3.095278609602937839e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
2.334618784554230719e-02, 0.000000000000000000e+00, 6.940006588977037927e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
7.143262306053797805e-02, 0.000000000000000000e+00, 1.107108745991882415e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
1.471842531953467259e-01, 0.000000000000000000e+00, 1.529697114078336639e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
2.540569304491522296e-01, 0.000000000000000000e+00, 1.924924300587510240e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
3.927858019624902441e-01, 0.000000000000000000e+00, 2.230756327417814378e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
5.581959959553624007e-01, 0.000000000000000000e+00, 2.375890865259146500e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
7.381597251621259126e-01, 0.000000000000000000e+00, 2.313091968370838969e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
9.165637104881440012e-01, 0.000000000000000000e+00, 2.065518384844909350e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
1.078652087775904933e+00, 0.000000000000000000e+00, 1.702009143920375500e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
1.214897067901995698e+00, 0.000000000000000000e+00, 1.296952723117562045e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
1.322267616190555772e+00, 0.000000000000000000e+00, 9.129980770272970447e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
1.402743395026270434e+00, 0.000000000000000000e+00, 5.866970997730071302e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
1.460863777111932382e+00, 0.000000000000000000e+00, 3.297524497912907027e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
1.501745507129635726e+00, 0.000000000000000000e+00, 1.379500042657558212e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
1.529980680683760585e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
1.506062773003859823e+00, 2.927754164418987060e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
1.482028497662424948e+00, 2.927754164418987060e+00, 1.553747334514072546e-03, 1.199999999999999956e+00, 4.173311976788848798e-02
1.447474915294631792e+00, 2.927754164418986615e+00, 3.543184310716718417e-03, 1.199999999999999956e+00, 9.595583006934514658e-02
1.398820953384515064e+00, 2.927754164418986615e+00, 5.843204257143177691e-03, 1.199999999999999956e+00, 1.722603643809275942e-01
1.332288929906774388e+00, 2.927754164418987060e+00, 8.013285130342492207e-03, 1.199999999999999956e+00, 2.765358755368440558e-01
1.244876276651815772e+00, 2.927754164418987060e+00, 9.113442590837976878e-03, 1.199999999999999956e+00, 4.134663504172013671e-01
1.135902884279239577e+00, 2.927754164418986615e+00, 7.696857417735298267e-03, 1.199999999999999956e+00, 5.841612375912467181e-01
1.008635156599698712e+00, 2.927754164418987060e+00, 2.321772014041018073e-03, 1.199999999999999956e+00, 7.836633902842906618e-01
8.708378645940828555e-01, 2.927754164418987060e+00, -7.312101320594673742e-03, 1.199999999999999956e+00, 1.000000000000000000e+00
7.333101909732000490e-01, 2.927754164418987060e+00, -2.018336402662592247e-02, 1.199999999999999956e+00, 1.216336609715709338e+00
6.066745846155334743e-01, 2.927754164418987504e+00, -3.387522745069054125e-02, 1.199999999999999956e+00, 1.415838762408753171e+00
4.981852845065087854e-01, 2.927754164418987060e+00, -4.410761737510169450e-02, 1.199999999999999956e+00, 1.586533649582798633e+00
4.108792263310431236e-01, 2.927754164418987504e+00, -4.821973968504569830e-02, 1.199999999999999956e+00, 1.723464124463156111e+00
3.443989962471823985e-01, 2.927754164418987060e+00, -4.543518264938066487e-02, 1.199999999999999956e+00, 1.827739635619072267e+00
2.967159998695383938e-01, 2.927754164418987060e+00, -3.586030339113627924e-02, 1.199999999999999956e+00, 1.904044169930654951e+00
2.663274000952146059e-01, 2.927754164418987060e+00, -1.974275771348714750e-02, 1.199999999999999956e+00, 1.958266880232111484e+00
2.530874754393457882e-01, 2.927754164418987060e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 2.000000000000000000e+00
2.536496394152409350e-01, 2.927754164418987504e+00, 2.519272852240333690e-02, 1.199999999999999956e+00, 2.041733119767888294e+00
2.728141489973298084e-01, 2.927754164418987060e+00, 5.626734836965210235e-02, 1.199999999999999956e+00, 2.095955830069344827e+00
3.123784440995711065e-01, 2.927754164418987504e+00, 8.957823492240776786e-02, 1.199999999999999956e+00, 2.172260364380927733e+00
3.745038849764121824e-01, 2.927754164418987060e+00, 1.236017746369651449e-01, 1.199999999999999956e+00, 2.276535875536843889e+00
4.620178629091389322e-01, 2.927754164418987504e+00, 1.553742266864408250e-01, 1.199999999999999956e+00, 2.413466350417201589e+00
5.755204232964314937e-01, 2.927754164418987060e+00, 1.799088567004950567e-01, 1.199999999999999956e+00, 2.584161237591246607e+00
7.107942013784953605e-01, 2.927754164418987060e+00, 1.914857362969712984e-01, 1.199999999999999956e+00, 2.783663390284290440e+00
8.579569784535743260e-01, 2.927754164418987060e+00, 1.863313368929867542e-01, 1.199999999999999956e+00, 3.000000000000000000e+00
1.003868459395344637e+00, 2.927754164418987504e+00, 1.663264580641806989e-01, 1.199999999999999956e+00, 3.216336609715709116e+00
