# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,HHDLPXWTZC,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
1.950013963861377375e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.913599244112510700e+00, 0.000000000000000000e+00, 9.324783176411258548e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
1.861013829075933268e+00, 0.000000000000000000e+00, 2.167221089495738676e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
1.786534054456577092e+00, 0.000000000000000000e+00, 3.685277557910089652e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
1.683961995907547138e+00, 0.000000000000000000e+00, 5.321390235940749724e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
1.548227576879270595e+00, 0.000000000000000000e+00, 6.651122559253663802e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
1.378260491790043396e+00, 0.000000000000000000e+00, 6.931106186115633394e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
1.180225394538566563e+00, 0.000000000000000000e+00, 5.335162721305712619e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
9.663803184691956982e-01, 0.000000000000000000e+00, 2.659794874283438748e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
7.529237203351019092e-01, 0.000000000000000000e+00, -3.114986400467903340e-03, 1.000000000000000000e+00, 1.216336609715709338e+00
