# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,ZNSSLIMTJX,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
1.903060060169869505e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.866153828995624320e+00, 0.000000000000000000e+00, -6.508148558421879976e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
1.813099806484374410e+00, 0.000000000000000000e+00, -1.574881481892358853e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
1.738404236398064073e+00, 0.000000000000000000e+00, -2.854617202713311680e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
1.636266261744921291e+00, 0.000000000000000000e+00, -4.567331647118678256e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
1.502042042762286922e+00, 0.000000000000000000e+00, -6.755479543364670270e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
1.334552528763692347e+00, 0.000000000000000000e+00, -9.377807308506792838e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
1.138499159992718113e+00, 0.000000000000000000e+00, -1.224565237374008186e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
9.252771914912323314e-01, 0.000000000000000000e+00, -1.488781498867628450e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
7.112149658769263416e-01, 0.000000000000000000e+00, -1.671739302992413523e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
