# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,ZZYTEVLTTQ,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
3.924083624953673244e+00, 0.000000000000000000e+00, 7.103922802175931944e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
3.814939615810035711e+00, 0.000000000000000000e+00, 1.674291996944240329e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
3.661250047837218524e+00, 0.000000000000000000e+00, 2.914881302701739091e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
3.451053990253760251e+00, 0.000000000000000000e+00, 4.385626436923106830e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
3.174781710265061729e+00, 0.000000000000000000e+00, 5.914607069150325941e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
2.830093665770621492e+00, 0.000000000000000000e+00, 7.180850915901400289e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
2.427010526398845958e+00, 0.000000000000000000e+00, 7.792814404306466769e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
1.989870454499620855e+00, 0.000000000000000000e+00, 7.515912788069742390e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
1.552836451101848203e+00, 0.000000000000000000e+00, 6.498390794980204999e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
1.150415182488859767e+00, 0.000000000000000000e+00, 4.179800345012148199e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
8.072374145896329400e-01, 0.000000000000000000e+00, 7.228789348797532745e-03, 1.000000000000000000e+00, 1.586533649582798633e+00
5.324080521080325479e-01, 0.000000000000000000e+00, -2.487341515851310136e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
3.227851155142480444e-01, 0.000000000000000000e+00, -4.616997901652517000e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
1.687934862639665357e-01, 0.000000000000000000e+00, -5.295929524700659918e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
6.003433473410936527e-02, 0.000000000000000000e+00, -4.188958423748052884e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
2.490039811045564183e-02, 0.000000000000000000e+00, 7.169421928454200454e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.117826405096608994e-01, 0.000000000000000000e+00, 1.449142081595517773e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
2.515592199147317354e-01, 0.000000000000000000e+00, 2.232456469012750744e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
4.544773459908284519e-01, 0.000000000000000000e+00, 3.056974456518410932e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
7.313088137997333371e-01, 0.000000000000000000e+00, 3.837880471854747677e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.085131919977419424e+00, 0.000000000000000000e+00, 4.417665825234780019e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.503748180170210169e+00, 0.000000000000000000e+00, 4.603149322498205631e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.957654016615729020e+00, 0.000000000000000000e+00, 4.357172089229950362e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.409207942899180388e+00, 0.000000000000000000e+00, 3.832503890521797851e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
2.822492900691342399e+00, 0.000000000000000000e+00, 3.128894711921538785e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
3.173108962350547735e+00, 0.000000000000000000e+00, 2.371232565300904205e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
3.452043619780089223e+00, 0.000000000000000000e+00, 1.664048061269088330e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
3.662906372180620096e+00, 0.000000000000000000e+00, 1.067471251311785940e-01, 1.000000000000000000e+00, 3.827739635619072267e+00
3.816281406787358499e+00, 0.000000000000000000e+00, 5.993957534269613030e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
3.924765434657504937e+00, 0.000000000000000000e+00, 2.506194780755173490e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
3.684573691976827714e+00, 4.460364805782997877e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
3.620022209049239326e+00, 4.460364805782997877e+00, 5.241049090237650913e-03, 1.199999999999999956e+00, 4.173311976788848798e-02
3.527218261467151450e+00, 4.460364805782997877e+00, 1.233185924144324791e-02, 1.199999999999999956e+00, 9.595583006934514658e-02
3.396539395029972930e+00, 4.460364805782997877e+00, 2.141249304915367885e-02, 1.199999999999999956e+00, 1.722603643809275942e-01
3.217817154674103008e+00, 4.460364805782997877e+00, 3.207759353484734843e-02, 1.199999999999999956e+00, 2.765358755368440558e-01
2.982916224357436530e+00, 4.460364805782997877e+00, 4.295367711929693605e-02, 1.199999999999999956e+00, 4.134663504172013671e-01
2.689845754368582753e+00, 4.460364805782997877e+00, 5.153957911708238748e-02, 1.199999999999999956e+00, 5.841612375912467181e-01
2.347117333749872081e+00, 4.460364805782997877e+00, 5.485745766500687431e-02, 1.199999999999999956e+00, 7.836633902842906618e-01
1.975410037410510355e+00, 4.460364805782997877e+00, 5.126944737030132704e-02, 1.199999999999999956e+00, 1.000000000000000000e+00
1.603763443145333145e+00, 4.460364805782997877e+00, 4.222906953816825404e-02, 1.199999999999999956e+00, 1.216336609715709338e+00
1.261505308027485617e+00, 4.460364805782997877e+00, 2.344659257016971921e-02, 1.199999999999999956e+00, 1.415838762408753171e+00
9.695819434144173909e-01, 4.460364805782997877e+00, -3.739195409008210826e-03, 1.199999999999999956e+00, 1.586533649582798633e+00
7.358117009659282948e-01, 4.460364805782997877e+00, -2.835663944614033594e-02, 1.199999999999999956e+00, 1.723464124463156111e+00
5.575987109151063770e-01, 4.460364805782997877e+00, -4.390051595541953622e-02, 1.199999999999999956e+00, 1.827739635619072267e+00
4.268502610198355862e-01, 4.460364805782997877e+00, -4.752284321572969317e-02, 1.199999999999999956e+00, 1.904044169930654951e+00
3.347864981636134996e-01, 4.460364805782997877e+00, -3.648157745282338410e-02, 1.199999999999999956e+00, 1.958266880232111484e+00
2.845736919768275253e-01, 4.460364805782997877e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 2.000000000000000000e+00
3.066793488646904486e-01, 4.460364805782997877e+00, 6.032528549047252997e-02, 1.199999999999999956e+00, 2.041733119767888294e+00
3.812415844163911105e-01, 4.460364805782997877e+00, 1.210867735457658301e-01, 1.199999999999999956e+00, 2.095955830069344827e+00
5.006179944354933742e-01, 4.460364805782997877e+00, 1.855610502632194792e-01, 1.199999999999999956e+00, 2.172260364380927733e+00
6.734671360721650180e-01, 4.460364805782997877e+00, 2.530158638408027683e-01, 1.199999999999999956e+00, 2.276535875536843889e+00
9.088390627824977086e-01, 4.460364805782997877e+00, 3.165526646364260621e-01, 1.199999999999999956e+00, 2.413466350417201589e+00
1.209278698018333431e+00, 4.460364805782997877e+00, 3.634050762087098763e-01, 1.199999999999999956e+00, 2.584161237591246607e+00
