# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,WIPVDWWDCA,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
3.923983791678269384e+00, 0.000000000000000000e+00, 1.763349261639269704e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
3.814743179798527173e+00, 0.000000000000000000e+00, 4.076975616157679609e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
3.661006282603528117e+00, 0.000000000000000000e+00, 6.881865238400437443e-03, 1.000000000000000000e+00, 1.722603643809275942e-01
3.450899891687438270e+00, 0.000000000000000000e+00, 9.833815722660217348e-03, 1.000000000000000000e+00, 2.765358755368440558e-01
3.174978975955686344e+00, 0.000000000000000000e+00, 1.212889666401816349e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
2.831009891948770729e+00, 0.000000000000000000e+00, 1.250785352158170077e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
2.429000379431140111e+00, 0.000000000000000000e+00, 9.719917638670383733e-03, 1.000000000000000000e+00, 7.836633902842906618e-01
1.993101359664939842e+00, 0.000000000000000000e+00, 3.528014669488661013e-03, 1.000000000000000000e+00, 1.000000000000000000e+00
1.557231067525618906e+00, 0.000000000000000000e+00, -4.463122616493426544e-03, 1.000000000000000000e+00, 1.216336609715709338e+00
1.155383637250788409e+00, 0.000000000000000000e+00, -1.603907743315318227e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
8.117188876659933161e-01, 0.000000000000000000e+00, -3.051924645028114211e-02, 1.000000000000000000e+00, 1.586533649582798633e+00
5.360333327260036196e-01, 0.000000000000000000e+00, -4.213928737934327651e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
3.259833003676905205e-01, 0.000000000000000000e+00, -4.762804123042840843e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
1.722531665576672588e-01, 0.000000000000000000e+00, -4.564297887955027361e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
6.364501897688962240e-02, 0.000000000000000000e+00, -3.451956637640506143e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
5.108028240643737450e-02, 0.000000000000000000e+00, 5.244430311359681712e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.533285799081311185e-01, 0.000000000000000000e+00, 9.431032510731186813e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
3.030807328043483295e-01, 0.000000000000000000e+00, 1.365692550127707849e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
5.114662009199317794e-01, 0.000000000000000000e+00, 1.790109306908090891e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
7.881098486490187849e-01, 0.000000000000000000e+00, 2.172087129283660767e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.135249643629884897e+00, 0.000000000000000000e+00, 2.434770056822850859e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.542095142752476722e+00, 0.000000000000000000e+00, 2.490405993025878451e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.983088410019879344e+00, 0.000000000000000000e+00, 2.336095244789979652e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.423371734434780489e+00, 0.000000000000000000e+00, 2.041353655309997572e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
2.828509519895659352e+00, 0.000000000000000000e+00, 1.659346912425993525e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
3.174325001330247087e+00, 0.000000000000000000e+00, 1.254388414676238239e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
3.451101911044827997e+00, 0.000000000000000000e+00, 8.792137908371683297e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
3.661449944503857967e+00, 0.000000000000000000e+00, 5.637586741628394099e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
3.815119617725928336e+00, 0.000000000000000000e+00, 3.165374991728059362e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
3.924178680305675293e+00, 0.000000000000000000e+00, 1.323617033020771730e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
3.461279004070131116e+00, 5.162112091283062476e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
3.396647654522219284e+00, 5.162112091283062476e+00, 9.685902578083209914e-04, 1.199999999999999956e+00, 4.173311976788848798e-02
3.303766424751248376e+00, 5.162112091283062476e+00, 2.199103758815470089e-03, 1.199999999999999956e+00, 9.595583006934514658e-02
3.173049694936323828e+00, 5.162112091283062476e+00, 3.598934818260113126e-03, 1.199999999999999956e+00, 1.722603643809275942e-01
2.994399187914348115e+00, 5.162112091283062476e+00, 4.859634617590667671e-03, 1.199999999999999956e+00, 2.765358755368440558e-01
2.759779349003239624e+00, 5.162112091283062476e+00, 5.339937897308855153e-03, 1.199999999999999956e+00, 4.134663504172013671e-01
2.467284047404405101e+00, 5.162112091283062476e+00, 4.099054607136541975e-03, 1.199999999999999956e+00, 5.841612375912467181e-01
2.125414528269010450e+00, 5.162112091283062476e+00, 2.908765414914391695e-04, 1.199999999999999956e+00, 7.836633902842906618e-01
1.754700073636068725e+00, 5.162112091283062476e+00, -6.035443198665682574e-03, 1.199999999999999956e+00, 1.000000000000000000e+00
1.383984448377652887e+00, 5.162112091283062476e+00, -1.332855491486812684e-02, 1.199999999999999956e+00, 1.216336609715709338e+00
1.042185383930331888e+00, 5.162112091283062476e+00, -2.282307213645001082e-02, 1.199999999999999956e+00, 1.415838762408753171e+00
7.498724339688088714e-01, 5.162112091283062476e+00, -3.393762404827115053e-02, 1.199999999999999956e+00, 1.586533649582798633e+00
5.154172375536083539e-01, 5.162112091283062476e+00, -4.216933722280447744e-02, 1.199999999999999956e+00, 1.723464124463156111e+00
3.368625708911636707e-01, 5.162112091283062476e+00, -4.506696572654213251e-02, 1.199999999999999956e+00, 1.827739635619072267e+00
2.063233173480994720e-01, 5.162112091283061588e+00, -4.166979012176463132e-02, 1.199999999999999956e+00, 1.904044169930654951e+00
