# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,YLJOZTLDJU,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
3.923832445299145988e+00, 0.000000000000000000e+00, -3.826634340173629481e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
3.814375157055644561e+00, 0.000000000000000000e+00, -9.243727724970132731e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
3.660334793530500619e+00, 0.000000000000000000e+00, -1.671725985551870616e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
3.449815972807670938e+00, 0.000000000000000000e+00, -2.668367639866848703e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
3.173352846867579125e+00, 0.000000000000000000e+00, -3.938152669049511251e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
2.828689066992625456e+00, 0.000000000000000000e+00, -5.453898245863759986e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
2.425803179263584575e+00, 0.000000000000000000e+00, -7.094879079732815952e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
1.988822400872794383e+00, 0.000000000000000000e+00, -8.611138837626319820e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
1.551704216057984143e+00, 0.000000000000000000e+00, -9.649947618650159264e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
1.148498612086252368e+00, 0.000000000000000000e+00, -9.886582189526749165e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
8.035226214767261510e-01, 0.000000000000000000e+00, -9.510081018335150849e-02, 1.000000000000000000e+00, 1.586533649582798633e+00
5.267915057003332846e-01, 0.000000000000000000e+00, -9.159150277864429313e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
3.161754503445876052e-01, 0.000000000000000000e+00, -8.425799273518772003e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
1.626156053604261298e-01, 0.000000000000000000e+00, -7.042494310466346219e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
5.578404974701121899e-02, 0.000000000000000000e+00, -4.682725325647858761e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
4.155815587464176813e-02, 0.000000000000000000e+00, 6.073814609244488488e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.403206369185675539e-01, 0.000000000000000000e+00, 1.107454704501706355e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
2.889762498064195606e-01, 0.000000000000000000e+00, 1.581352993866835255e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
4.977281253733389366e-01, 0.000000000000000000e+00, 2.018167472670827634e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
7.758083827035168190e-01, 0.000000000000000000e+00, 2.351782820868620061e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.124721448192993023e+00, 0.000000000000000000e+00, 2.480954648303830279e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.532831193619682120e+00, 0.000000000000000000e+00, 2.422422690524667077e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.974939670471302922e+00, 0.000000000000000000e+00, 2.213724829136916039e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.416353174374568535e+00, 0.000000000000000000e+00, 1.889015067272779014e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
2.822715643725861590e+00, 0.000000000000000000e+00, 1.505560463984824127e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
3.169825780982681973e+00, 0.000000000000000000e+00, 1.121168238152557839e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
3.447861835690085641e+00, 0.000000000000000000e+00, 7.774504569176562963e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
3.659324993283033400e+00, 0.000000000000000000e+00, 4.948726354150563556e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
3.813905905026687471e+00, 0.000000000000000000e+00, 2.765087821156141101e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
3.923664818935216125e+00, 0.000000000000000000e+00, 1.152504711003152563e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
3.461826872328132243e+00, 4.105564893419743733e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
3.397074445676921961e+00, 4.105564893419743733e+00, -3.503396623641998487e-03, 1.199999999999999956e+00, 4.173311976788848798e-02
3.304019874814943858e+00, 4.105564893419743733e+00, -8.457458914086779522e-03, 1.199999999999999956e+00, 9.595583006934514658e-02
3.173060371935902957e+00, 4.105564893419743733e+00, -1.528036525687520228e-02, 1.199999999999999956e+00, 1.722603643809275942e-01
2.994079921068535821e+00, 4.105564893419743733e+00, -2.435435907947229583e-02, 1.199999999999999956e+00, 2.765358755368440558e-01
2.759026313990755153e+00, 4.105564893419743733e+00, -3.586840078630176842e-02, 1.199999999999999956e+00, 4.134663504172013671e-01
2.465975255697490542e+00, 4.105564893419743733e+00, -4.953841417703890027e-02, 1.199999999999999956e+00, 5.841612375912467181e-01
2.123404636392967504e+00, 4.105564893419743733e+00, -6.424409020730739717e-02, 1.199999999999999956e+00, 7.836633902842906618e-01
1.751824774860353706e+00, 4.105564893419743733e+00, -7.774696563526717341e-02, 1.199999999999999956e+00, 1.000000000000000000e+00
1.380110835461546337e+00, 4.105564893419743733e+00, -8.695763777087466007e-02, 1.199999999999999956e+00, 1.216336609715709338e+00
1.037225232056704360e+00, 4.105564893419743733e+00, -8.908446770614146526e-02, 1.199999999999999956e+00, 1.415838762408753171e+00
7.438632892753964665e-01, 4.105564893419743733e+00, -8.560287503472745196e-02, 1.199999999999999956e+00, 1.586533649582798633e+00
5.085716441910733687e-01, 4.105564893419743733e+00, -8.173110954224528657e-02, 1.199999999999999956e+00, 1.723464124463156111e+00
3.295641591306825990e-01, 4.105564893419743733e+00, -7.437092693034957902e-02, 1.199999999999999956e+00, 1.827739635619072267e+00
1.991611366483078682e-01, 4.105564893419743733e+00, -6.149536150185518774e-02, 1.199999999999999956e+00, 1.904044169930654951e+00
1.086394505252395448e-01, 4.105564893419743733e+00, -4.043171266802183389e-02, 1.199999999999999956e+00, 1.958266880232111484e+00
6.182687232813207506e-02, 4.105564893419743733e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 2.000000000000000000e+00
9.725873542734395083e-02, 4.105564893419743733e+00, 5.156042693679482869e-02, 1.199999999999999956e+00, 2.041733119767888294e+00
1.813251618948210075e-01, 4.105564893419743733e+00, 9.375178337826091390e-02, 1.199999999999999956e+00, 2.095955830069344827e+00
3.078047987001482078e-01, 4.105564893419743733e+00, 1.334727722515462456e-01, 1.199999999999999956e+00, 2.172260364380927733e+00
4.853209399294779458e-01, 4.105564893419743733e+00, 1.699113051329960711e-01, 1.199999999999999956e+00, 2.276535875536843889e+00
7.216918982568291119e-01, 4.105564893419743733e+00, 1.976648525575358528e-01, 1.199999999999999956e+00, 2.413466350417201589e+00
1.018203500942096884e+00, 4.105564893419743733e+00, 2.084681820542338970e-01, 1.199999999999999956e+00, 2.584161237591246607e+00
1.365012417510904852e+00, 4.105564893419743733e+00, 2.035518720636467493e-01, 1.199999999999999956e+00, 2.783663390284290440e+00
1.740718590539160449e+00, 4.105564893419743733e+00, 1.859558412652099202e-01, 1.199999999999999956e+00, 3.000000000000000000e+00
2.115844632481754584e+00, 4.105564893419743733e+00, 1.586062629512672018e-01, 1.199999999999999956e+00, 3.216336609715709116e+00
2.461196517084078828e+00, 4.105564893419743733e+00, 1.263520653289147699e-01, 1.199999999999999956e+00, 3.415838762408752949e+00
