# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,OMJNBOQZUQ,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
3.923682862969706253e+00, 0.000000000000000000e+00, -7.873277349804606862e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
3.813988435308281133e+00, 0.000000000000000000e+00, -1.892935771819504939e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
3.659572082332466003e+00, 0.000000000000000000e+00, -3.398785663926701117e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
3.448464898862844130e+00, 0.000000000000000000e+00, -5.366031345979783290e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
3.171108162159930188e+00, 0.000000000000000000e+00, -7.795084971075652569e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
2.825150195075159409e+00, 0.000000000000000000e+00, -1.057209870261810319e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
2.420512011742614433e+00, 0.000000000000000000e+00, -1.342527283351179213e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
1.981354217985446642e+00, 0.000000000000000000e+00, -1.592695877549351047e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.541802966966279831e+00, 0.000000000000000000e+00, -1.758997659404577252e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
1.136201359240681663e+00, 0.000000000000000000e+00, -1.807665074621135903e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
7.892335524462376073e-01, 0.000000000000000000e+00, -1.731550705623225994e-01, 1.000000000000000000e+00, 1.586533649582798633e+00
5.114522100867504584e-01, 0.000000000000000000e+00, -1.547514148489901598e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
3.011150364778280020e-01, 0.000000000000000000e+00, -1.283946075312838442e-01, 1.000000000000000000e+00, 1.827739635619072267e+00
1.494491942097929127e-01, 0.000000000000000000e+00, -9.605584308243364511e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
4.680325182487106439e-02, 0.000000000000000000e+00, -5.651751740481097963e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
4.605908739882669245e-02, 0.000000000000000000e+00, 5.719335636711321558e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.482617541557850471e-01, 0.000000000000000000e+00, 9.809360607864189840e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
2.996483529427327319e-01, 0.000000000000000000e+00, 1.322676951528287126e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
5.098643555909054825e-01, 0.000000000000000000e+00, 1.608286955651772598e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
7.877006035805542705e-01, 0.000000000000000000e+00, 1.815382304556835691e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.134892540306148723e+00, 0.000000000000000000e+00, 1.910546178531520034e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.540820142664922843e+00, 0.000000000000000000e+00, 1.870360967073079195e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.980705867719438684e+00, 0.000000000000000000e+00, 1.700997263099533474e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.420150065215978419e+00, 0.000000000000000000e+00, 1.440411753888946600e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
2.824992349619219745e+00, 0.000000000000000000e+00, 1.139028216468140620e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
3.171070291298174304e+00, 0.000000000000000000e+00, 8.426740850499692126e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
3.448481982111369692e+00, 0.000000000000000000e+00, 5.815385936055698229e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
3.659603841260134161e+00, 0.000000000000000000e+00, 3.689816297515476073e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
3.814014718898048439e+00, 0.000000000000000000e+00, 2.057428748879756852e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
3.923696344949862080e+00, 0.000000000000000000e+00, 8.564128870252849662e-03, 1.000000000000000000e+00, 3.958266880232111262e+00
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
3.679723109507056833e+00, 4.043407878704409875e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
3.614851016992294497e+00, 4.043407878704409875e+00, -6.740711031346780999e-03, 1.199999999999999956e+00, 4.173311976788848798e-02
3.521606734595977617e+00, 4.043407878704409875e+00, -1.620596290866671563e-02, 1.199999999999999956e+00, 9.595583006934514658e-02
3.390346440156399854e+00, 4.043407878704409875e+00, -2.909684268387384767e-02, 1.199999999999999956e+00, 1.722603643809275942e-01
3.210895299091598876e+00, 4.043407878704409875e+00, -4.593566872837577530e-02, 1.199999999999999956e+00, 2.765358755368440558e-01
2.975126803403560505e+00, 4.043407878704409875e+00, -6.672385920251089342e-02, 1.199999999999999956e+00, 4.134663504172013671e-01
2.681040395342442206e+00, 4.043407878704409875e+00, -9.048401783107365426e-02, 1.199999999999999956e+00, 5.841612375912467181e-01
2.337067939555116158e+00, 4.043407878704409875e+00, -1.148872402375392121e-01, 1.199999999999999956e+00, 7.836633902842906618e-01
1.963746465729400370e+00, 4.043407878704409875e+00, -1.362735251382047041e-01, 1.199999999999999956e+00, 1.000000000000000000e+00
1.590086073367107833e+00, 4.043407878704409875e+00, -1.504778695740395800e-01, 1.199999999999999956e+00, 1.216336609715709338e+00
1.245283666959172475e+00, 4.043407878704409875e+00, -1.546050161596183581e-01, 1.199999999999999956e+00, 1.415838762408753171e+00
9.503282712299303547e-01, 4.043407878704409875e+00, -1.480462833379043164e-01, 1.199999999999999956e+00, 1.586533649582798633e+00
7.141964448791318087e-01, 4.043407878704409875e+00, -1.322590391985219993e-01, 1.199999999999999956e+00, 1.723464124463156111e+00
5.354120652161995508e-01, 4.043407878704409875e+00, -1.096802187672264728e-01, 1.199999999999999956e+00, 1.827739635619072267e+00
4.065242449067259511e-01, 4.043407878704409875e+00, -8.200008148407132713e-02, 1.199999999999999956e+00, 1.904044169930654951e+00
3.193510493664520888e-01, 4.043407878704409875e+00, -4.818392398668774890e-02, 1.199999999999999956e+00, 1.958266880232111484e+00
2.797231095070567553e-01, 4.043407878704409875e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 2.000000000000000000e+00
3.187557178256165691e-01, 4.043407878704409875e+00, 4.872459515652949325e-02, 1.199999999999999956e+00, 2.041733119767888294e+00
4.055742928635197031e-01, 4.043407878704408986e+00, 8.363029188103793254e-02, 1.199999999999999956e+00, 2.095955830069344827e+00
5.342387183881234236e-01, 4.043407878704410763e+00, 1.127786888644623647e-01, 1.199999999999999956e+00, 2.172260364380927733e+00
7.129261612824557837e-01, 4.043407878704409875e+00, 1.371208637714716738e-01, 1.199999999999999956e+00, 2.276535875536843889e+00
9.491019121373837075e-01, 4.043407878704409875e+00, 1.547528112525931032e-01, 1.199999999999999956e+00, 2.413466350417201589e+00
1.244236611811546211e+00, 4.043407878704409875e+00, 1.628355044724490719e-01, 1.199999999999999956e+00, 2.584161237591246607e+00
1.589299813926021931e+00, 4.043407878704409875e+00, 1.593869341875197299e-01, 1.199999999999999956e+00, 2.783663390284290440e+00
1.963227785516593826e+00, 4.043407878704409875e+00, 1.449376359822192872e-01, 1.199999999999999956e+00, 3.000000000000000000e+00
2.336778382333807080e+00, 4.043407878704409875e+00, 1.227179978805606198e-01, 1.199999999999999956e+00, 3.216336609715709116e+00
2.680914118977690386e+00, 4.043407878704409875e+00, 9.702948552758008938e-02, 1.199999999999999956e+00, 3.415838762408752949e+00
2.975096506714156153e+00, 4.043407878704409875e+00, 7.177710623790323208e-02, 1.199999999999999956e+00, 3.586533649582798411e+00
3.210908965690419503e+00, 4.043407878704409875e+00, 4.953050544898310315e-02, 1.199999999999999956e+00, 3.723464124463156111e+00
3.390371847298534469e+00, 4.043407878704409875e+00, 3.142508775258401332e-02, 1.199999999999999956e+00, 3.827739635619072267e+00
3.521627761467791995e+00, 4.043407878704409875e+00, 1.752190672514864628e-02, 1.199999999999999956e+00, 3.904044169930655173e+00
3.614861802576419869e+00, 4.043407878704409875e+00, 7.293392247705316432e-03, 1.199999999999999956e+00, 3.958266880232111262e+00
3.679723109507056833e+00, 4.043407878704409875e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 4.000000000000000000e+00
3.359446219014113666e+00, 8.086815757408819749e+00, 0.000000000000000000e+00, 1.399999999999999911e+00, 0.000000000000000000e+00
3.306019171014883629e+00, 8.086815757408819749e+00, -5.608144712888954268e-03, 1.399999999999999911e+00, 4.173311976788848798e-02
3.229225033883674101e+00, 8.086815757408819749e+00, -1.348256809913837839e-02, 1.399999999999999911e+00, 9.595583006934514658e-02
3.121120797980334149e+00, 8.086815757408819749e+00, -2.420582872848068071e-02, 1.399999999999999911e+00, 1.722603643809275942e-01
2.973325699320354065e+00, 8.086815757408819749e+00, -3.821102399695371771e-02, 1.399999999999999911e+00, 2.765358755368440558e-01
2.779145444647190821e+00, 8.086815757408819749e+00, -5.549686869426527502e-02, 1.399999999999999911e+00, 4.134663504172013671e-01
2.536930595609725003e+00, 8.086815757408819749e+00, -7.524704863596626270e-02, 1.399999999999999911e+00, 5.841612375912467181e-01
2.253623867367617883e+00, 8.086815757408819749e+00, -9.552175213996050296e-02, 1.399999999999999911e+00, 7.836633902842906618e-01
1.946138713473353876e+00, 8.086815757408819749e+00, -1.132774625214743036e-01, 1.399999999999999911e+00, 1.000000000000000000e+00
1.638369179767935613e+00, 8.086815757408819749e+00, -1.250559732076214070e-01, 1.399999999999999911e+00, 1.216336609715709338e+00
1.354365974677663509e+00, 8.086815757408819749e+00, -1.284435248571230981e-01, 1.399999999999999911e+00, 1.415838762408753171e+00
1.111422990013623213e+00, 8.086815757408819749e+00, -1.229374961134860472e-01, 1.399999999999999911e+00, 1.586533649582798633e+00
9.169406796715131591e-01, 8.086815757408819749e+00, -1.097666635480538250e-01, 1.399999999999999911e+00, 1.723464124463156111e+00
7.697090939545712107e-01, 8.086815757408819749e+00, -9.096583000316911527e-02, 1.399999999999999911e+00, 1.827739635619072267e+00
6.635992956036589341e-01, 8.086815757408819749e+00, -6.794431988570902303e-02, 1.399999999999999911e+00, 1.904044169930654951e+00
5.918988469080330717e-01, 8.086815757408819749e+00, -3.985033056856451122e-02, 1.399999999999999911e+00, 1.958266880232111484e+00
5.594462190141135105e-01, 8.086815757408819749e+00, 0.000000000000000000e+00, 1.399999999999999911e+00, 2.000000000000000000e+00
5.914523482524064457e-01, 8.086815757408819749e+00, 4.025583394594577785e-02, 1.399999999999999911e+00, 2.041733119767888294e+00
6.628868315712543868e-01, 8.086815757408817973e+00, 6.916697768343396668e-02, 1.399999999999999911e+00, 2.095955830069344827e+00
7.688290838335142263e-01, 8.086815757408821526e+00, 9.328968257609604464e-02, 1.399999999999999911e+00, 2.172260364380927733e+00
9.159879669740060848e-01, 8.086815757408819749e+00, 1.134130319777660878e-01, 1.399999999999999911e+00, 2.276535875536843889e+00
1.110503220694213145e+00, 8.086815757408819749e+00, 1.279673920495026374e-01, 1.399999999999999911e+00, 2.413466350417201589e+00
1.353580683316943478e+00, 8.086815757408819749e+00, 1.346163910917461404e-01, 1.399999999999999911e+00, 2.584161237591246607e+00
1.637779485187121020e+00, 8.086815757408819749e+00, 1.317377716677315402e-01, 1.399999999999999911e+00, 2.783663390284290440e+00
1.945749703313748968e+00, 8.086815757408819749e+00, 1.197755456544852548e-01, 1.399999999999999911e+00, 3.000000000000000000e+00
2.253406699451636186e+00, 8.086815757408819749e+00, 1.013948203722265656e-01, 1.399999999999999911e+00, 3.216336609715709116e+00
2.536835888336161027e+00, 8.086815757408819749e+00, 8.015614940834611679e-02, 1.399999999999999911e+00, 3.415838762408752949e+00
2.779122722130137113e+00, 8.086815757408819749e+00, 5.928680397080954290e-02, 1.399999999999999911e+00, 3.586533649582798411e+00
2.973335949269469314e+00, 8.086815757408819749e+00, 4.090715153740923093e-02, 1.399999999999999911e+00, 3.723464124463156111e+00
3.121139853336935222e+00, 8.086815757408819749e+00, 2.595201253001327632e-02, 1.399999999999999911e+00, 3.827739635619072267e+00
3.229240804037534662e+00, 8.086815757408819749e+00, 1.446952596149972403e-02, 1.399999999999999911e+00, 3.904044169930655173e+00
3.306027260202977658e+00, 8.086815757408819749e+00, 6.022655625157784069e-03, 1.399999999999999911e+00, 3.958266880232111262e+00
3.359446219014113666e+00, 8.086815757408819749e+00, 0.000000000000000000e+00, 1.399999999999999911e+00, 4.000000000000000000e+00
3.039169328521170499e+00, 1.213022363611323406e+01, 0.000000000000000000e+00, 1.600000000000000089e+00, 0.000000000000000000e+00
2.997187325037471872e+00, 1.213022363611323406e+01, -4.475578394431127538e-03, 1.600000000000000089e+00, 4.173311976788848798e-02
2.936843333171369697e+00, 1.213022363611323406e+01, -1.075917328961004116e-02, 1.600000000000000089e+00, 9.595583006934514658e-02
