# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,DIYBCBKTIW,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
3.922501612391109838e+00, 0.000000000000000000e+00, 3.247153480946739917e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
3.811083577677157663e+00, 0.000000000000000000e+00, 6.397436846670300978e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
3.654236022623178926e+00, 0.000000000000000000e+00, 7.735762489869266872e-03, 1.000000000000000000e+00, 1.722603643809275942e-01
3.439929731820607905e+00, 0.000000000000000000e+00, 3.573760748836712735e-03, 1.000000000000000000e+00, 2.765358755368440558e-01
3.158932879554778417e+00, 0.000000000000000000e+00, -1.260613387020092895e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
2.810059274714856503e+00, 0.000000000000000000e+00, -4.981466651728148898e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
2.403605884848617702e+00, 0.000000000000000000e+00, -1.044556929386223909e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
1.962315861067483569e+00, 0.000000000000000000e+00, -1.595239406301801333e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.520036938545786143e+00, 0.000000000000000000e+00, -2.058980432683376049e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
1.110955296626566113e+00, 0.000000000000000000e+00, -2.344835061742370774e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
7.601667062354506843e-01, 0.000000000000000000e+00, -2.401473715363840467e-01, 1.000000000000000000e+00, 1.586533649582798633e+00
4.792905612323289932e-01, 0.000000000000000000e+00, -2.231398928672444770e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
2.681483472962227776e-01, 0.000000000000000000e+00, -1.870348697747431510e-01, 1.000000000000000000e+00, 1.827739635619072267e+00
1.203887842061082541e-01, 0.000000000000000000e+00, -1.352868737523362230e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
3.114451595748797888e-02, 0.000000000000000000e+00, -6.976700193101240122e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
1.694365267942116865e-02, 0.000000000000000000e+00, 7.647254975025422064e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
9.408768625179668443e-02, 0.000000000000000000e+00, 1.598245374370713956e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
2.333591497039968488e-01, 0.000000000000000000e+00, 2.398330862323804213e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
4.402467142331678573e-01, 0.000000000000000000e+00, 3.139300397340643034e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
7.220014517403756660e-01, 0.000000000000000000e+00, 3.767794046886073223e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.079272588799023325e+00, 0.000000000000000000e+00, 4.203877176420882655e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.499626991923267205e+00, 0.000000000000000000e+00, 4.375763490622450735e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.955721124198162020e+00, 0.000000000000000000e+00, 4.260454903646545000e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.410579705705920617e+00, 0.000000000000000000e+00, 3.902721158913607935e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
2.828285054602300175e+00, 0.000000000000000000e+00, 3.395657193581769207e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
3.182041472901842916e+00, 0.000000000000000000e+00, 2.731303624736159952e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
3.461198931904881704e+00, 0.000000000000000000e+00, 1.992466530489658272e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
3.670281070410077007e+00, 0.000000000000000000e+00, 1.310570789723512486e-01, 1.000000000000000000e+00, 3.827739635619072267e+00
3.821060016685339011e+00, 0.000000000000000000e+00, 7.479195646730837921e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
3.926956994879191143e+00, 0.000000000000000000e+00, 3.160354442925220747e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
3.700182824774257195e+00, 4.378114103781808097e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
3.634365731796618260e+00, 4.378114103781808097e+00, 2.155633633254297205e-03, 1.199999999999999956e+00, 4.173311976788848798e-02
3.539742563758279115e+00, 4.378114103781808097e+00, 4.055472743225567098e-03, 1.199999999999999956e+00, 9.595583006934514658e-02
3.406537307656170466e+00, 4.378114103781808097e+00, 4.282052619435178231e-03, 1.199999999999999956e+00, 1.722603643809275942e-01
3.224526880725010258e+00, 4.378114103781808097e+00, -1.484093614681361931e-04, 1.199999999999999956e+00, 2.765358755368440558e-01
2.985846292586639805e+00, 4.378114103781808097e+00, -1.444808653006642366e-02, 1.199999999999999956e+00, 4.134663504172013671e-01
